Channel,Name,Frequency,Offset,OffsetDir,Mode,Power,RxTone,TxTone,Step,Compander,ScanList,TxLock,BusyCL,FreqReverse,DTMF_PTTID,DTMF_Decode
1,PMR 01,446.00625,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
2,PMR 02,446.01875,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
3,PMR 03,446.03125,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
4,PMR 04,446.04375,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
5,PMR 05,446.05625,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
6,PMR 06,446.06875,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
7,PMR 07,446.08125,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
8,PMR 08,446.09375,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
9,PMR 09,446.10625,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
10,PMR 10,446.11875,0.00000,OFF,NFM,LOW4,77.0,77.0,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
11,PMR 11,446.13125,0.00000,OFF,NFM,LOW4,D631N,D631N,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
12,PMR 12,446.14375,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
13,PMR 13,446.15625,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
14,PMR 14,446.16875,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
15,PMR 15,446.18125,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
16,PMR 16,446.19375,0.00000,OFF,NFM,LOW4,OFF,OFF,12.5,OFF,0,OFF,OFF,OFF,OFF,OFF
